"logFC" "logCPM" "F" "PValue" "FDR"
"RIMS3" -6.82805867016246 6.17409129677636 199.985630373233 1.57555539778323e-07 0.000110403211404681
"CIT" -5.60139119489811 5.38905626756237 199.422752731255 1.58922834301177e-07 0.000110403211404681
"PTF1A" 7.06818742959627 3.50020477381145 104.816314145918 1.64068696729571e-07 0.000110625731544865
"WBP2NL" -5.97970386334931 6.7419123580477 195.331647153539 1.73118156971651e-07 0.000113392392816432
"SERPINA4" 15.0718512606964 5.52856804954017 197.19098448536 1.90126051260708e-07 0.000115457996727594
"SLC17A7" -8.86677110066304 7.19868010715027 192.433101745205 1.90389364766883e-07 0.000115457996727594
"EIF4EBP1" 6.09437770253612 5.62857922730774 190.592854285077 1.934987112011e-07 0.000115457996727594
"STAC2" -7.89979771512038 4.43618362320813 187.543015319873 2.03349340983889e-07 0.000115457996727594
"GABBR2" -9.62175282281097 5.33802893602178 172.201075399116 2.13762732277755e-07 0.000115457996727594
"AADAC" 11.3435875744261 3.61707337577667 114.459646779399 2.1502065765243e-07 0.000115457996727594
"HAPLN2" -7.74927220461465 4.67744227473006 187.735700979425 2.1586754754305e-07 0.000115457996727594
"EVA1A" 8.00167020843477 3.18211379849324 167.928839650647 2.20939055625556e-07 0.000115457996727594
"INS" 18.4226950852878 8.8782325574224 149.90219052031 2.26971017141513e-07 0.000115457996727594
"GSTA2" 13.1327683785919 5.40110087478466 103.733709799212 2.31081154405327e-07 0.000115457996727594
"SOX21" -8.43467842528564 1.85381400549995 71.9039927648522 2.33113458940491e-07 0.000115457996727594
"MMP2" 5.1314238950981 6.9912607255678 181.936835886824 2.36707779550574e-07 0.000115457996727594
"MIR124-2HG" -10.6487089194983 3.26185656043611 96.8446459483425 2.42235848368426e-07 0.000115692850496795
"SIM1" 10.479366094654 0.970956529912948 128.466831099639 2.58542103896977e-07 0.000120960770037514
"SEPT3" -8.53985401933187 6.95510487182194 176.255592727647 2.79041813876418e-07 0.000127940671662338
"SLC12A5" -9.22277856002498 6.21428915769355 170.878973220777 3.18063356420841e-07 0.000142972596979368
"EHD3" -4.88010391367491 4.8106978259638 167.475826405201 3.40978972320729e-07 0.000150325825777937
"PRICKLE3" 3.9315434560334 5.16990079142947 165.320249661405 3.59160959317357e-07 0.000154937890635213
"APC2" -6.27930879694528 6.27792409058103 164.606918255227 3.67383327051424e-07 0.000154937890635213
"STMN4" -10.4386503876496 4.83080845234032 109.780261093403 3.71715768154273e-07 0.000154937890635213
"PIANP" -7.13908612799603 5.42991912213331 164.262308845952 3.80303026045223e-07 0.000155191053567388
"CPA3" 9.29182979726781 2.61180692123362 115.857943016162 3.85862161541597e-07 0.000155191053567388
"AGAP2" -5.4102713941471 7.00820766179307 160.215327804964 4.11828777604836e-07 0.000158486261792879
"FSD1" -8.66524361990807 3.7938089084711 132.845013818892 4.17458821866118e-07 0.000158486261792879
"ALDOC" -7.69235874625485 8.43036446254533 159.62136446825 4.18773881769128e-07 0.000158486261792879
"TMEFF2" -8.72406396320833 3.11272745853852 106.064807571204 4.21708264748772e-07 0.000158486261792879
"GDAP1L1" -6.7481875762685 3.4880063702097 158.160383645302 4.55474247897348e-07 0.000168415276339463
"RAB3A" -6.95610518009348 6.14556306405077 155.482504006661 4.74143730476518e-07 0.000168523307055157
"PLP2" 4.57950458089083 6.58050278504566 154.000716945034 4.89020560853047e-07 0.000168523307055157
"ELAVL3" -10.7106290115678 5.96836793342685 132.572835062414 4.89987915605206e-07 0.000168523307055157
"CPLX1" -6.08064005251192 6.35054330681797 153.360625026512 4.9955490617427e-07 0.000168523307055157
"GRM3" -9.54325597058728 4.40607693826417 121.11282451465 5.03991686232676e-07 0.000168523307055157
"AQP12A" 12.1854646197316 5.2659793150214 87.3718722992252 5.05155640177684e-07 0.000168523307055157
"PRRT1" -4.76514916231463 4.90339164108434 152.533267101544 5.11671809259942e-07 0.000168523307055157
"OPALIN" -12.1905486541537 4.77728013295075 77.043734894267 5.15421154068272e-07 0.000168523307055157
"GRIA1" -7.95545048245325 4.95850945601685 153.194873681131 5.23325763599544e-07 0.000168523307055157
"YPEL4" -6.07559439593866 3.99023037368289 152.584149625692 5.29277125756655e-07 0.000168523307055157
"CPNE6" -11.3225111201377 4.76585437756826 85.7815380348367 5.46221363394304e-07 0.000170851623425784
"LOC100506281" 14.7281247739559 9.94187099681597 130.476368665078 5.51494880414746e-07 0.000170851623425784
"KCNK5" 8.01220399152295 4.64467823153943 144.864314241546 5.62400997804555e-07 0.000171268099116365
"ZIC2" -11.5319436206521 4.92433328948113 84.167153499889 5.71148814548738e-07 0.000171268099116365
"HTR5A" -9.32718666855078 2.77840271959527 77.7100082716621 5.75251630619853e-07 0.000171268099116365
"LOC105374786" 9.62382039485322 0.1462443319522 108.127987366914 6.08690724596103e-07 0.000173323293089218
"OLFM3" -9.59373326551692 3.09176911917032 84.0802172926194 6.10439790297585e-07 0.000173323293089218
"CASR" 10.9522738872243 3.22940305494845 96.7660401620226 6.11203413074987e-07 0.000173323293089218
"NR5A2" 11.3474891025881 5.4585785109972 99.311380488779 6.19101626051918e-07 0.000173323293089218
"NXPH1" -8.09505860930897 2.01395141484295 73.4123447136302 6.19956817156635e-07 0.000173323293089218
"SLC43A1" 6.29697919279794 6.71044832823639 144.828025933122 6.39090883670919e-07 0.000176519982025974
"MLC1" -12.0669796976499 6.67576724662144 103.615631422671 6.96859363573182e-07 0.000185783720268816
"PRKACB" -3.79808840431238 6.40444484170697 141.60859998142 7.0344336657119e-07 0.000185783720268816
"CA10" -10.4209418987589 4.6947251747637 95.5240587961856 7.10850168520798e-07 0.000185783720268816
"SPOCK2" -6.59009409202568 7.40642184293789 141.249940347373 7.1178818543339e-07 0.000185783720268816
"RNF175" -6.10511271955738 2.33767022916804 138.247725602431 7.1315015850189e-07 0.000185783720268816
"PRDX4" 4.69551366777203 6.63836611203015 140.449451894811 7.28915072161069e-07 0.000185936267388511
"PANX2" -4.67884713386503 4.59301359002054 141.890481181735 7.29956993019235e-07 0.000185936267388511
"PVALB" -11.5493730360073 4.13881469029079 67.7976665658533 7.57035044352545e-07 0.000190714597711891
"TACSTD2" 8.88209492360073 5.40117352924425 138.965471492707 7.82850883771666e-07 0.000192318464559676
"NAPB" -4.47592414373224 6.94024973091187 138.006473025354 7.86375228711034e-07 0.000192318464559676
"ANXA2P2" 3.75750275777753 6.07989381031858 137.928467522994 7.88568622403907e-07 0.000192318464559676
"UBD" 5.47202166278893 0.385282695294005 109.304240158285 8.18548049699089e-07 0.000195223610326013
"PDIA5" 4.77329124406618 4.00047340025591 136.881324032103 8.23536559480036e-07 0.000195223610326013
"SSR2" 3.15535330656039 7.28769757008913 136.424617356778 8.26396091008955e-07 0.000195223610326013
"UNC13C" -11.0019291691897 5.27212142255126 92.3750739913703 8.39784746931798e-07 0.000195223610326013
"DNM1" -4.53229651234529 7.54244133443391 135.291034784722 8.56720883359949e-07 0.000195223610326013
"GABRG1" -12.0376865445122 4.62763828295787 97.047623214102 8.68997023312456e-07 0.000195223610326013
"TRIM50" 6.96361186691553 3.4217217127143 136.430437407311 8.76733073167268e-07 0.000195223610326013
"SLC32A1" -9.25916478556654 1.87247258634723 77.2171211551537 8.77135264747233e-07 0.000195223610326013
"JPH4" -8.18865308692476 6.70115871167866 134.469757214821 8.98494871105756e-07 0.000195223610326013
"SERPINI2" 9.43168661282472 6.97986848891223 126.064026266222 9.18203247194947e-07 0.000195223610326013
"PLVAP" 6.66791134042037 6.12281753747357 133.057927780146 9.30573804577738e-07 0.000195223610326013
"STX1B" -7.00269979858785 6.520134845032 132.431747873736 9.46132286877635e-07 0.000195223610326013
"CEND1" -10.9936065290173 6.04991020504667 109.925311043081 9.50271039490569e-07 0.000195223610326013
"KCNJ9" -10.3100790007652 5.47261113199505 112.917569681511 9.506823349357e-07 0.000195223610326013
"RHBDL1" -4.46474774128881 3.71732265053771 132.35303047129 9.53311428633356e-07 0.000195223610326013
"LINC01754" 7.10320743672064 1.86773376788378 70.5201472440917 9.56885424413808e-07 0.000195223610326013
"RBFOX1" -9.96937739092432 5.17634697078467 113.740989543743 9.67228315944626e-07 0.000195223610326013
"MIR3917" -4.96226049088259 -0.788997345083189 79.7542183079406 9.70435490391431e-07 0.000195223610326013
"MIR3917.1" -4.96226049088259 -0.788997345083189 79.7542183079406 9.70435490391431e-07 0.000195223610326013
"LRRC3B" -8.72880518994487 3.68144038761823 106.934879020697 9.71842880998062e-07 0.000195223610326013
"REG3A" 16.9311601342063 9.19781443617998 68.8889704858501 9.86408033271346e-07 0.000195223610326013
"SCN1A" -8.66554898396243 3.75380688485706 109.108024493832 9.87827210373718e-07 0.000195223610326013
"ELMO1" -3.91526303123413 5.39249121619833 130.293773278308 1.00842070836049e-06 0.000197263108782047
"TTBK1" -6.73227695378701 4.55847020254468 131.524187040628 1.01535645959789e-06 0.000197263108782047
"SH3GL3" -9.48670772146447 4.08559476599536 97.0799044387031 1.0386766984806e-06 0.000199604683582459
"MAPRE3" -3.37087599014285 6.04364948248047 129.208735819283 1.04482277120589e-06 0.000199604683582459
"GAD1" -7.06504597285331 4.53428307993099 109.276296629868 1.10077890942644e-06 0.000208556665277696
"NDP-AS1" -9.72148404837867 0.267006128287981 95.4177988268888 1.12228771979707e-06 0.000210888901445473
"GRIN1" -9.33806530003148 6.95107537137331 127.538865281221 1.14802376586593e-06 0.000213971096198996
"BEST3" -4.39792719870613 1.01220160360052 87.9338949419972 1.17804064915922e-06 0.000217795015177219
"AOX1" 7.52857420767758 6.42601979215823 125.247932488356 1.20666975822473e-06 0.000219836063968257
"GUCA1C" 9.62693149215027 2.71024457564192 95.5195426497775 1.22385030620058e-06 0.000219836063968257
"PHACTR3" -8.53224360066632 4.88789705882372 122.950215784237 1.22912782075697e-06 0.000219836063968257
"RNFT2" -5.26604471470848 2.4492528646527 126.269180174926 1.23680449859759e-06 0.000219836063968257
"COL20A1" -8.70979573966769 3.05646245009486 87.1886745728759 1.23702736104275e-06 0.000219836063968257
"LINC00599" -12.7879925647615 6.15260866966188 73.7194125692301 1.2871428170585e-06 0.000226464678518967
"PITPNM3" -4.26595033317605 6.03044514799193 122.951111837266 1.29408387725124e-06 0.000226464678518967
"ANKS1B" -3.15710453313951 5.43368892931239 121.998473111371 1.33750874759595e-06 0.000232290818474524
"LINC00951" -5.97275916566288 -0.42478352603912 54.9777647591988 1.34811490563316e-06 0.000232372437681505
"SHANK1" -9.74713427364965 6.43248592820687 122.271931269762 1.3678874345163e-06 0.000233359939844987
"CD36" 6.37951035053994 4.86879237952156 122.089340904341 1.374671870809e-06 0.000233359939844987
"UMOD" 8.94252667714783 1.261204496405 79.7592189661193 1.38978801122031e-06 0.000233359939844987
"RYR1" -5.97374202669032 4.59744501193665 121.369363080322 1.39456103636917e-06 0.000233359939844987
"ELAVL2" -8.59965252049793 3.28412698828593 92.8756888662866 1.4057278093039e-06 0.000233523985712261
