"logFC" "logCPM" "F" "PValue" "FDR"
"HOXA10-AS" 9.04099314554751 2.63097950553718 93.978769223045 2.18308367693902e-07 0.00015185178796828
"GABBR2" -9.2837460945569 5.33802893602178 170.213950026885 2.25264715908492e-07 0.00015185178796828
"SERPINA5" 5.10761949708179 5.75184743112106 171.417359300504 2.30693793314469e-07 0.00015185178796828
"HOXB4" 8.03036225841386 2.25402232761621 120.273573713343 2.31834790791268e-07 0.00015185178796828
"RTN4R" -5.82602161699172 3.84590409048227 179.575471214811 2.56866352895092e-07 0.00016184214651786
"C1orf61" -9.48241747815107 6.75314087162441 116.896671245522 2.61206517825991e-07 0.00016184214651786
"HOXA-AS3" 8.53086756386989 2.12270153128103 102.525551708611 2.74068071953093e-07 0.000165342382882228
"HOXB3" 7.07359158759391 5.07232763409283 175.524887484644 2.84446064480862e-07 0.000167203231492917
"CPA3" 9.36829147547659 2.61180692123362 117.639857619553 3.57425969340895e-07 0.000199803737906738
"AGAP2" -5.51819704849955 7.00820766179307 165.136925372315 3.60940968084558e-07 0.000199803737906738
"SYT12" -9.01753760337766 4.07643374369942 152.067681356906 3.66052649600131e-07 0.000199803737906738
"RIPK4" 5.89425638888753 3.80357094363956 148.063497953642 3.87939149010982e-07 0.000206825697466901
"NTSR2" -10.8877419188831 3.83387291037817 83.8862197768241 4.16064162519687e-07 0.000212335814501919
"LINC00951" -6.45642878628895 -0.42478352603912 65.897278642398 4.16798763471596e-07 0.000212335814501919
"ANXA2P2" 4.07734522026793 6.07989381031858 157.704157656415 4.40997432342372e-07 0.000215362973733633
"HOXA13" 9.82744959507029 2.122877784488 89.4216483009921 4.47162919659456e-07 0.000215362973733633
"SLC17A7" -7.53121343426379 7.19868010715027 157.291234363044 4.58685124301849e-07 0.000215362973733633
"OPALIN" -11.3258253443311 4.77728013295075 77.9309323051221 4.81667764101401e-07 0.000215362973733633
"SPTBN2" -5.81430713771088 6.7622112089411 154.154902108369 4.87018537431686e-07 0.000215362973733633
