"logFC" "logCPM" "F" "PValue" "FDR"
"GUCA1C" -12.2448637702659 2.71024457564192 108.751920522272 6.52342028072548e-07 0.000471302105290736
"HOXA13" 9.53873147515744 2.122877784488 83.406854964838 6.57869896152827e-07 0.000471302105290736
"LINC02489" -5.18150903960818 -1.55166312650953 61.6752653984479 8.34594755150042e-07 0.000579790447327719
"NPHS1" -10.4927134651843 4.31696900127964 92.7713268245153 9.2911309275057e-07 0.000626468166214906
"CCDC198" -9.9045820138457 4.00812387752458 89.9156118419013 9.72801897129693e-07 0.000637185242619949
"RBPJL" -14.823001940321 8.89409095636502 91.8893989787102 1.0485703529269e-06 0.000653659804281082
"TRIM50" -6.64640376402706 3.4217217127143 129.692427794089 1.08929331425489e-06 0.000653659804281082
"REG3A" -15.7788784371647 9.19781443617998 67.2921568385374 1.13034599393165e-06 0.000653659804281082
"LOC105374786" -7.14446544604833 0.1462443319522 95.2431079763863 1.13328949300277e-06 0.000653659804281082
"SHISAL2B" -5.55401894447778 0.0203134742016289 86.1883913438727 1.14051874247517e-06 0.000653659804281082
"GLP1R" -7.76459897822235 3.39362039121158 122.826378244191 1.22160032318893e-06 0.000653992417707446
"LOC107105282" -9.21339560578189 3.37381939449997 96.2529918759062 1.22544191429517e-06 0.000653992417707446
"PRODH2" -8.55206792516239 0.774040199658309 62.7807147079477 1.22668152503469e-06 0.000653992417707446
"TMEM97" -3.55038255497062 5.8106449789441 123.307737355734 1.27721158195806e-06 0.000665456261736103
"TUNAR" -6.10844505380612 2.43774873538477 72.3903962265716 1.30717271300921e-06 0.000665931876571913
"CASR" -8.44926723305052 3.22940305494845 81.8838786701012 1.44106812073072e-06 0.000713323006441071
"TMED11P" -9.40262918392458 2.86640727740033 65.2888941780443 1.46242884635683e-06 0.000713323006441071
"REG1CP" -16.627533436231 8.79960339753421 61.8819560453286 1.70151075371549e-06 0.000808137605599211
"CHST4" -7.58292379708093 1.45458914502763 60.7781440495859 1.75398584351019e-06 0.000808137605599211
"FAM24B-CUZD1" -12.9348449593885 10.8264185639098 115.005452641091 1.76256838734833e-06 0.000808137605599211
"CUZD1" -13.5995901377123 10.8258797092469 114.29032922091 1.84268413319002e-06 0.000813844395091943
"HPN" -8.75937983202176 6.87275549359655 113.59612453629 1.84601563990321e-06 0.000813844395091943
"HOGA1" -4.97947871316339 2.57384347840126 112.892377668837 1.93745768739128e-06 0.000838041839310283
"RNF144A-AS1" -7.26348229085596 2.77368867960489 100.841452758689 2.01992722173175e-06 0.000857533917744451
"HOXD4" 3.44596227864622 3.24619505519136 67.1664148306877 2.09013606160732e-06 0.000871206712951778
"HOXA7" 5.20637358211636 2.15090114875146 70.1067476411633 2.24646083138412e-06 0.000919644902847875
"ALDOB" -9.22217786980506 7.59005002840718 107.572663332207 2.37421084509889e-06 0.000954890940770035
"HOXA3" 4.35629753362624 3.08331297290133 65.1296456463495 2.48282099741497e-06 0.00095840790700122
"HOXA-AS3" 5.81084588605719 2.12270153128103 67.8518307686205 2.51172135184695e-06 0.00095840790700122
"HOXA11-AS" 10.5047246822146 3.07716269124941 63.5889690736975 2.53500690698307e-06 0.00095840790700122
"BNIP3P1" -4.65968278810668 5.73229230180516 104.885486778357 2.55018025417991e-06 0.00095840790700122
"EIF4EBP1" -4.0027951745761 5.62857922730774 101.056795429469 2.99560529751262e-06 0.00110764921686253
"SLC25A22" -3.5063460668491 6.62425276178384 100.036049322512 3.11551267129138e-06 0.00112826515197159
"REG3G" -14.1982233245906 7.62953511389033 85.4677243129858 3.14979148205808e-06 0.00112826515197159
"GLS2" -5.61263846454875 5.52962861849107 98.8601269338888 3.28460501263894e-06 0.00114528413385516
"LOC112267992" -6.68178620186901 0.204605300299422 49.7244252182842 3.29721931666045e-06 0.00114528413385516
"PRDX4" -3.74924741226306 6.63836611203015 98.0660551285982 3.38935245119391e-06 0.00115971499915851
